fills,effects,font,count
#FFFFFF,,Inter 600 18.0,10
#ECF8EF,,,10
#FFF7E6,,,10
#6D717F,,Inter 400 16.0,10
IMAGE:9780659d1bcd9a318752be3d9b6fb352d5a9e964,,,10
#0095FF,,Inter 600 10.0,10
#FFFFFF,,Poppins 400 24.0,10
#DB09BE,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,10
#454544,,,9
IMAGE:ca2f0901150be5bd2d421e94447598d43b12baa7 | GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF),,,9
GRADIENT_LINEAR(#E3E3E3>#FFFFFF)~0.5,BACKGROUND_BLUR r11.9,,9
#3745AF,,Bai Jamjuree 600 24.0,9
#B0DEFF~0.75,BACKGROUND_BLUR r4.0,,9
#4E61F6,,Manrope 600 14.0,9
#4E61F6,,Inter 600 18.0,9
IMAGE:351d4eecaa5cac0b70b14580ce59875814d26fea,"DROP_SHADOW r12.0 o0.0,6.0 s-6.0 #000000@0.1",,9
#000000,,JetBrains Mono 400 14.246013641357422,9
#000000,,JetBrains Mono 400 11.288070678710938,9
#000000,,JetBrains Mono 400 5.427637577056885,9
#38A1FF,,,9
#FFFFFF,,Instrument Sans 600 18.0,9
#056BF1~0.5,,,9
#056BF1,,Instrument Sans 600 6.0,9
#000000,,JetBrains Mono 400 13.0,9
GRADIENT_LINEAR(#AEB6FB>#212967),,,9
#9EA2AE,,Inter 600 16.0,9
GRADIENT_LINEAR(#01FFF7@0.3>#01FFF7@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,9
GRADIENT_LINEAR(#962AFF>#BE85FF>#C99FFF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,9
,"DROP_SHADOW r3.0 o2.0,4.0 #000000@0.2",,8
#2B2A2D,"DROP_SHADOW r30.92 o0.0,15.5 #0F172A@0.18",,8
#6D717F,,Inter 600 12.0,8
GRADIENT_LINEAR(#000000>#666666),,,8
#3C3A38,,,8
,"DROP_SHADOW r16.0 o0.0,8.0 s-6.0 #131927@0.08 | DROP_SHADOW r8.0 o0.0,6.0 s-6.0 #131927@0.12",,8
#4758E0~0.75,BACKGROUND_BLUR r4.0,,8
#FFFFFF,,Manrope 600 14.0,8
IMAGE:fd36fc36b40bfabeaa1d834e3894d13e803e35ad,,,8
#000000,,Instrument Sans 700 24.0,8
#212121,,Instrument Sans 400 16.0,8
#FFFFFF,,Roboto 700 30.0,8
#81A1B7,,Roboto 700 30.0,8
#131927,,Bai Jamjuree 600 18.0,8
#FFAA00,,,8
