fills,effects,font,count
#3745AF,,Bai Jamjuree 600 40.0,1
GRADIENT_LINEAR(#B0DEFF@0.3>#FFFFFF),,,1
#5A5A5A,,,1
#18191A,,Bai Jamjuree 600 16.0,1
#18191A,,Manrope 600 16.0,1
#153C88,,Inter 400 14.0,1
GRADIENT_LINEAR(#1B1F3E>#000318),,Bai Jamjuree 600 16.0,1
#18191A,,Inter 400 14.0,1
#E4E4E4,,,1
#C3C3C3,,,1
#0095FF,,Bai Jamjuree 600 16.0,1
#3745AF,,Bai Jamjuree 600 16.0,1
#C1C0C0,,,1
#FFFFFF,"DROP_SHADOW r8.0 o0.0,8.0 s-4.0 #131927@0.08 | DROP_SHADOW r6.0 o0.0,4.0 s-4.0 #131927@0.12",,1
#FFFFFF,"DROP_SHADOW r16.0 o0.0,8.0 s-6.0 #131927@0.08 | DROP_SHADOW r8.0 o0.0,6.0 s-6.0 #131927@0.12",,1
#FFFFFF,"DROP_SHADOW r24.0 o0.0,8.0 s-4.0 #131927@0.08 | DROP_SHADOW r12.0 o0.0,6.0 s-6.0 #131927@0.12",,1
#FFFFFF,"DROP_SHADOW r42.0 o0.0,12.0 s-4.0 #131927@0.12 | DROP_SHADOW r18.0 o0.0,8.0 s-6.0 #131927@0.12",,1
#FFFFFF,"DROP_SHADOW r64.0 o0.0,14.0 s-4.0 #131927@0.12 | DROP_SHADOW r22.0 o0.0,8.0 s-6.0 #131927@0.12",,1
#FFFFFF,"DROP_SHADOW r88.0 o0.0,18.0 s-4.0 #131927@0.14 | DROP_SHADOW r28.0 o0.0,8.0 s-6.0 #131927@0.12",,1
IMAGE:f5d9953d74a1e5c0ece21546d887f5321cef4a0f,,,1
IMAGE:9a37039c83427847b5ba2966c4d79d0591b81cb9,,,1
IMAGE:7c47c71a67928912af812e9f66caa7e4815c32bc,,,1
IMAGE:b1cdb53c898b0537c86186f9966b56bfa8dd879e,,,1
#EE443F,,Inter 600 14.0,1
#EE443F,,Inter 600 12.0,1
#EE443F,,Inter 600 10.0,1
#43B75D,,Inter 600 14.0,1
#43B75D,,Inter 600 12.0,1
#43B75D,,Inter 600 10.0,1
#FFAA00,,Inter 600 14.0,1
#FFAA00,,Inter 600 12.0,1
#FFAA00,,Inter 600 10.0,1
#FFFFFF,,Bai Jamjuree 600 32.0,1
#FFFFFF,,Bai Jamjuree 600 24.0,1
#FFFFFF,,Inter 500 12.0,1
#4E61F6,"DROP_SHADOW r0.0 o0.0,0.0 s3.0 #AEB6FB",,1
#43B75D,,Inter 600 16.0,1
#FFAA00,,Inter 600 16.0,1
#FFFFFF~0.6,,Inter 400 14.0,1
#AEB6FB,,Inter 600 18.0,1
#AEB6FB,,Inter 600 16.0,1
#AEB6FB,,Inter 600 14.0,1
#AEB6FB,,Inter 600 12.0,1
#AEB6FB,,Inter 600 10.0,1
#6D717F,,Inter 600 18.0,1
#6D717F,,Inter 600 10.0,1
#8895F9,"DROP_SHADOW r48.0 o8.0,8.0 #60637B@0.48",,1
#04080F,,SF Pro Text 600 9.686036109924316,1
#000000,,Poppins 400 11.623242378234863,1
#47F9EE,LAYER_BLUR r21.96,,1
#64FFC7,LAYER_BLUR r41.33,,1
#64FFC7,LAYER_BLUR r21.96,,1
#C7FF81,LAYER_BLUR r41.33,,1
GRADIENT_LINEAR(#356EFF>#54FFCC)~0.8,BACKGROUND_BLUR r3.87,,1
#04080F,,SF Pro Text 600 15.0,1
#000000,,Poppins 400 18.0,1
#47F9EE,LAYER_BLUR r34.0,,1
#64FFC7,LAYER_BLUR r64.0,,1
#64FFC7,LAYER_BLUR r34.0,,1
#C7FF81,LAYER_BLUR r64.0,,1
GRADIENT_LINEAR(#356EFF>#54FFCC)~0.8,BACKGROUND_BLUR r6.0,,1
#0C1014,,Helvetica 700 40.0,1
GRADIENT_LINEAR(#00C2FD@0.1>#1C41BB),,,1
IMAGE:91bba36ec3365c374e6d055db34ed3084f2f0022,,,1
IMAGE:98a5baa83bb3bc9da86ae01355cd21ea51de1b72,,,1
#FFFFFF,,Inter 400 161.7451629638672,1
IMAGE:a3de95c59dd0d73a7c237c0687e0e510ae836b4f,,,1
IMAGE:764215ac86c0a12a311c29802c2eee638d639788,,,1
IMAGE:fdc9428483eba8254d0e59befc7fcafe6facd7c0,,,1
IMAGE:43fbd31798581d9d3cd7d38570b1968be467519c,,,1
IMAGE:fdf3183f5f22d212fa045240de1ebfdfd2c8c548,,,1
IMAGE:a5cb7eaec6c02441843adb53c5a4903886b5a090,,,1
IMAGE:471b27b6345e590747cc3cb65f1393bd2331d339,,,1
IMAGE:01ac74462f546ec7f0bec6dea56aad42c3d8b97e,,,1
IMAGE:ca47784ec34f0fdd67bd922530ae79c4ee1d0d54,,,1
IMAGE:23e02438fbd924435b09a32f81d3ea8d3a26445b,,,1
IMAGE:92f153db2f022fbce1bc82ddbb3348af10bbe5b2,,,1
IMAGE:d284d3884b8d5b2b7a153caaec8d55c7e0d84e67,,,1
IMAGE:7b8b2a4c17543480fba7ef13ca6a4b0c9bb39b60,,,1
IMAGE:62074cf506b2ed2c67834a10865c5401f5fd0025,,,1
IMAGE:f25d935929790acfbf2c81c79a299e9896ea9c10,,,1
IMAGE:f40e93152f9af994edaf675e0f6e01024f964b5c,,,1
IMAGE:5d012a55d0e7061bf8a9d95cae6efd5db628dbdc,,,1
IMAGE:1f82f04e937818ddad69f09eff6fc8e85004ab7a,,,1
#000855~0.95,,,1
,"DROP_SHADOW r148.35 o0.0,0.0 #FFFFFF@0.3",,1
,"DROP_SHADOW r179.58 o0.0,0.0 #FFFFFF@0.3",,1
,"DROP_SHADOW r39.04 o0.0,0.0 #FF5D18",,1
,"DROP_SHADOW r101.5 o0.0,0.0 #FFFFFF@0.8",,1
#000855,,,1
,"DROP_SHADOW r95.73 o0.0,0.0 #FFFFFF@0.3",,1
,"DROP_SHADOW r115.88 o0.0,0.0 #FFFFFF@0.3",,1
,"DROP_SHADOW r25.19 o0.0,0.0 #FF5D18",,1
,"DROP_SHADOW r65.5 o0.0,0.0 #FFFFFF@0.8",,1
#FFFFFF,,Manrope 800 68.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r20.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r32.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r56.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 48.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r20.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 48.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 40.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r20.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r32.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r56.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 40.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r20.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 40.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r20.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r32.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r56.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 32.0,1
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE | DROP_SHADOW r20.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 32.0,1
#1C1C1C,,,1
GRADIENT_LINEAR(#962AFF>#9F3EFF>#B572FF>#C493FF>#C99FFF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#5535D5~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#9E3BFF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FFFFFF@0.4>#5CBDF7@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#9930FF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FFFFFF@0.4>#5CBDF7@0.4),,,1
GRADIENT_LINEAR(#01FFF7@0.2>#01FFF7@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#962AFF>#9931FF>#AA58FF>#B877FF>#C18DFF>#C79AFF>#C99FFF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#BB7FFF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#009A76>#00F56E>#00FB6D)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#C8F1FC@0.4>#FFFFFF@0.0),,,1
#BC8DFF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FF19C4~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FCE724>#FCE323>#FCD820>#FDC61B>#FDAB14>#FE8A0B>#FE7D08)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FDBE19~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#06B264~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#00BC73>#36D058)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#97F8FF>#84F7FF>#26A1FD>#0090FC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#DCA6FF>#DCA6FF),,,1
GRADIENT_LINEAR(#4ECCFE>#007FCC),,,1
#11C26B~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#318C58@0.8>#35AF69@0.0),,,1
GRADIENT_LINEAR(#06E2FF@0.5>#01FFF7@0.3),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#00BC73>#5BDD46>#78E837)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#67CADD~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#FE7D08>#FDA513>#FDC91C>#FCDF22>#FCE724)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#FCE724>#FCD820>#FDB116>#FF7205>#FF6201)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#FE8209~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#009CFC>#059FFC>#14A8FC>#2CB7FD>#4ECCFE>#7AE6FE>#97F8FF)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#FCDB1F>#FE9012)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#FFD4D4>#FF7B7B)~0.302,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#FFD498~0.463,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#4C4C4C>#666666),,,1
GRADIENT_LINEAR(#FFD8BB@0.4>#F4805D@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#78E837>#5BDD46>#00BC73)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#86E8FF>#00A1FC)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#801CF4~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#B777FF~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#C99FFF>#BE85FF>#962AFF)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#97F8FF>#8EF3FF>#76E4FE>#4ECCFE>#18ABFC>#009CFC)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#F4E9FF@0.5>#DAA6FF@0.6),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#DAA6FF@0.6>#DCA6FF@0.4),"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FFFFFF~0.502,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#97F8FF>#08A1FC>#009CFC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#38C671,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#AD5EFF,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#EACCFF@0.6>#EBCCFF@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#009CFC>#0FA5FC>#18ABFC),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#009CFC,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#04AA5F~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FF01BB>#FF81EC>#FFA4F9)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#008AFC>#1895FC>#4EDCFE>#76E4FE>#8EE9FF>#97F8FF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#97F8FF>#6ADCFE>#3CC1FD>#1BADFD>#07A0FC>#009CFC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FE9D11~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FDA813~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FCD820~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#97F8FF>#84EDFF>#26B3FD>#009CFC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#3099EF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#FE920E~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FFCFAE@0.2>#F4805D@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#FE8E0D,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
#9043FF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#B8FFFA@0.3>#01FFF7@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#CE9FFF>#C185FF>#932AFF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF@0.6),,,1
GRADIENT_LINEAR(#FF00C8>#FF9AF7)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#FFE15C>#FFBC03)~0.4,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#FFFFFF>#000000),,,1
GRADIENT_LINEAR(#FFEBB0>#FFC522),,,1
#E1C26C~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
#EF7E0C~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,1
GRADIENT_LINEAR(#F4805D@0.3>#FFD8BB@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,1
GRADIENT_LINEAR(#FFFFFF@0.4>#FFFFFF@0.2),,,1
GRADIENT_LINEAR(#FFFFFF@0.5>#FFFFFF)~0.8,,,1
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0),"LAYER_BLUR r0.72 | DROP_SHADOW r0.12 o0.0,0.2 #000000@0.1",,1
,LAYER_BLUR r0.5,,1
GRADIENT_LINEAR(#FFFFFF@0.6>#FFFFFF@0.8)~0.8,,,1
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0),"LAYER_BLUR r0.43 | DROP_SHADOW r0.12 o0.0,0.2 #000000@0.1",,1
GRADIENT_LINEAR(#FFFFFF@0.8>#FFFFFF@0.2),"INNER_SHADOW r1.17 o0.0,-0.7 #FFFFFF@0.51",,1
GRADIENT_LINEAR(#FFFFFF@0.8>#FFFFFF@0.0),,,1
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF),"LAYER_BLUR r0.23 | DROP_SHADOW r0.12 o0.0,0.2 #000000@0.1",,1
GRADIENT_LINEAR(#FFFFFF@0.8>#FFFFFF@0.5)~0.8,"INNER_SHADOW r1.86 o0.0,-0.8 #FFFFFF@0.75",,1
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0)~0.6,LAYER_BLUR r0.23,,1
GRADIENT_LINEAR(#B7B7B7>#F5F5F3),,,1
GRADIENT_RADIAL(#FFFFFF>#A3A3A3@0.5),"DROP_SHADOW r1.28 o0.0,0.0 #000000@0.16 | INNER_SHADOW r3.96 o0.0,0.0 #000000@0.15",,1
GRADIENT_LINEAR(#B4B4B4>#F5F5F3),,,1
#5D5151~0.93,LAYER_BLUR r8.94,,1
GRADIENT_RADIAL(#D9D8D4>#909090),,,1
#F6F6F4~0.2,"INNER_SHADOW r2.73 o0.3,-2.3 #FFFFFF@0.38",,1
#F6F6F4~0.2,,,1
#FFFFFF,LAYER_BLUR r0.21,,1
GRADIENT_LINEAR(#8A8A7E>#615F4C),"INNER_SHADOW r0.46 o0.0,0.0 #000000@0.64",,1
#FDFDFD~0.72,LAYER_BLUR r0.28,,1
GRADIENT_LINEAR(#EDEDED@0.88>#FFFFFF@0.5)~0.81,"BACKGROUND_BLUR r2.79 | INNER_SHADOW r0.35 o0.0,0.5 s0.93 #FFFFFF@0.15",,1
GRADIENT_LINEAR(#EDEDED@0.88>#FFFFFF@0.5)~0.6,"BACKGROUND_BLUR r1.86 | INNER_SHADOW r0.35 o0.0,0.5 s0.93 #FFFFFF@0.15 | DROP_SHADOW r5.11 o0.0,0.5 #000000@0.21",,1
GRADIENT_RADIAL(#FFFFFF>#FFFFFF@0.26),"INNER_SHADOW r1.86 o0.0,-0.8 #FFFFFF@0.15 | DROP_SHADOW r1.86 o0.0,0.2 #000000@0.11",,1
GRADIENT_LINEAR(#FFFFFF>#F3F3F3@0.4),"BACKGROUND_BLUR r0.93 | DROP_SHADOW r1.63 o0.0,-0.2 #000000@0.14",,1
#FFFFFF,LAYER_BLUR r0.35,,1
GRADIENT_LINEAR(#F3F3F3>#FFFFFF@0.3),,,1
GRADIENT_LINEAR(#EFEFEF@0.8>#F0F0F0@0.5)~0.8,"INNER_SHADOW r2.32 o0.0,-0.5 #FFFFFF | INNER_SHADOW r0.46 o0.7,0.0 #FFFFFF@0.7",,1
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.2),BACKGROUND_BLUR r1.39,,1
GRADIENT_LINEAR(#FFFFFF>#EBEBEB@0.6),"DROP_SHADOW r1.63 o0.0,0.1 #000000@0.14 | INNER_SHADOW r0.93 o0.0,-0.5 #000000@0.28",,1
GRADIENT_LINEAR(#B5B5B5@0.0>#B0B0B0),"INNER_SHADOW r14.39 o0.0,12.3 #000000@0.13",,1
#FFFFFF~0.3,LAYER_BLUR r0.46,,1
GRADIENT_LINEAR(#B5B5B5@0.0>#D9D9D9),"INNER_SHADOW r14.39 o0.0,12.3 #000000@0.35",,1
#FFFFFF,LAYER_BLUR r1.86,,1
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.3),"INNER_SHADOW r0.81 o0.0,-0.6 s0.23 #FFFFFF@0.67 | BACKGROUND_BLUR r2.32",,1
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.55>#FFFFFF@0.1),"INNER_SHADOW r0.81 o0.0,-0.6 s0.23 #FFFFFF@0.67 | BACKGROUND_BLUR r6.96",,1
GRADIENT_LINEAR(#FFFFFF>#E5E5E5@0.3),"INNER_SHADOW r0.81 o0.0,-0.6 s0.23 #FFFFFF@0.67",,1
#999999~0.3 | #333333~0.45 | #0F0F0F,"INNER_SHADOW r26.6 o0.0,0.0 #F2F2F2 | INNER_SHADOW r4.99 o0.0,0.0 #FFFFFF@0.5 | INNER_SHADOW r0.83 o-1.7,-1.7 s-1.66 #FFFFFF | INNER_SHADOW r0.83 o1.7,1.7 s-1.66 #FFFFFF | INNER_SHADOW r0.0 o-1.7,-1.7 s-0.83 #262626 | INNER_SHADOW r0.0 o1.7,1.7 s-0.83 #333333",,1
#FFFFFF~0.08,BACKGROUND_BLUR r3.14 | TEXTURE r2.62,,1
#FFFFFF,,SF Pro 700 23.27151870727539,1
#FFFFFF~0.5 | #34C759,,,1
#FFFFFF,,Inter 700 112.0,1
IMAGE:d8e6707441ca8234c8eae97ef9b6c639b2a6caff,,,1
IMAGE:e741d5c15e0de1e191c4cc17ef1a035c88b2cd36,,,1
IMAGE:3a8f85cba1f91538cb90cde59859fc15577bbf67,,,1
IMAGE:a05bdddd0fc68130fe4afdad921cdd5704e1ca26,,,1
