id,name,description,component_set_id,key
2443:3862,"State=Hover, Color=White, Size=Small",,2443:3806,1e6b7370673443ed0fc6b4d07c24ea9545957ca9
2443:3873,"State=Default, Color=Blue, Size=Small",,2443:3806,9d212b57fbc7f2d01654971a3fbf3fa95b065fd2
2443:3884,"State=Hover, Color=Blue, Size=Small",,2443:3806,65b20c5fc7a991697bfe99c3e4f364476b5534d3
2443:3896,"State=Default, Property 2=Big",,2443:3895,86b27ce6c8091524b6db91bec833dafe2e8cacef
2443:3417,"Size=Small, State=Hover, Content=Icons + Text, Style=Clear",,2443:3051,d1df5c67ea7f334abf802849d4f26fba5240922b
2443:3903,"State=Hover, Property 2=Big",,2443:3895,f4076a3d3e80f38b26930fd568dc30bf997e4648
2443:3910,"State=Variant2, Property 2=Small",,2443:3895,ce79bd909c00833e0b76967df111a6a6610ce1ec
2443:3422,"Size=Tiny, State=Hover, Content=Icons + Text, Style=Clear",,2443:3051,17b32dece90daa8fe75828f4e40577445f855f4c
2443:3917,"State=Hover, Property 2=Small",,2443:3895,016188c4901850457e7251968b9c20c656f7f64d
2675:6204,State=Hover,,2675:6206,e26b6e57992afaa5f096664e16b1a38b95f7bde2
2675:6348,"State=Leaderboard Banner, Style=Hover",,2675:6235,161842bae5a808a0ceb51efff96dd20559bb7e2b
2675:6355,"State=In-Page Banner, Style=Hover",,2675:6235,87ebb981928293cacae1705f9053ff93dd0fd4f0
2675:6366,"State=Side Banner, Style=Hover",,2675:6235,ef85f811a58d1f5a860b4b5eb7f1f23f430abc8d
2675:6380,"State=Pause Banner, Style=Hover",,2675:6235,8da6d0c7fb2d39b3d0adea8a90ba6ec150b72aa7
2675:6390,"State=Welcome Banner, Style=Hover",,2675:6235,d7272e34eb7ea44c55a66c5f287fd73a4cd5e05c
2675:6400,"State=Welcome TVC, Style=Hover",,2675:6235,635ec378e6d543af59f420f756d738e5d7f899f9
2675:6412,"State=Pre_roll Instream, Style=Hover",,2675:6235,55ae8de7c35359bc473f85472d05dbdd30cd9e67
2675:6428,"State=Mid_roll Instream, Style=Hover",,2675:6235,e9c074776867d134285969227cbf1f78c1fdcbbb
2675:6444,"State=Post_roll Instream, Style=Hover",,2675:6235,5565031796d731e0ba39e7fa7df136f434b459a5
2626:10322,Property 1=Variant2,,2626:10316,e49e784b245ce2b28a5b10d2dee36a16211fd518
2513:2517,"Type=IOS, Color=Blue",,2497:7904,00b698011f50526da11fdadb520ce600558e301f
2513:2522,"Type=Android, Color=Blue",,2497:7904,f0e1d088a266dce25d6586ebf21b071d0aecf7dd
2519:5604,"Type=Smart TV, Color=Blue",,2497:7904,bbf8b63465d07224b88269b18e8734be13c1a256
2531:6576,"Type=TV Box, Color=Blue",,2497:7904,6eca8880536e9022feffa7db86016e65fac16f12
2675:6785,"Type=Web, Color=Blue",,2497:7904,c8081c743431ce4dafe867d5a27f2755f5df462d
2513:2450,Property 1=Variant2,,2513:2449,1617ad228edfc1c885451d93c8ebf93cfadcfa71
2496:2361,"Property 1=Default, Type=Iconly",,2497:7641,4765ef65937edcda7662f267fffda469b09ed6a6
2497:7609,Property 1=Money,,2497:7614,30a0896c67ca69c60963b97ed1c05fb47b7d9185
2497:7606,Property 1=Connect,,2497:7614,246476a2cacac57d82795f7d9fa5256e9c3e42d8
2497:7607,Property 1=User,,2497:7614,ecc48cace5d466fca470fdc3c0b03867dfc3ebc1
2496:2362,"Property 1=Hover, Type=Iconly",,2497:7641,0088c2e94aa89be110cd50d540d7b214a2266e7f
2531:6625,"Property 1=Hover, Type=Img",,2497:7641,3fa490e73a95f1be53101a68b71c7f3d42f41986
2445:2375,"Size=Desk, Style=Light Mode",,2445:2374,f8d58789c269f141248248d5255a3c519bed40f9
2445:2349,phone,,,397c19465eaea333feeff8e4c5cfcbb8a75f1e18
2445:2352,mail-opened,,,3f0c0a67993aaa32bbc013a6edaf76063ccf9db0
2445:2355,home-alt,,,7027e311c54c6c6b9cc0377f25a8ab95d64f212a
2445:2407,"Size=Tb, Style=Light Mode",,2445:2374,f656abf2bbd9840c5ab9678a09fb5ac91c05d6ba
